project_id,dimension,dimension_value,count,within_project_share
358917318,target_entity_type,Issue,4122,0.30797967722653913
358917318,target_entity_type,IssueComment,272,0.020322773460848775
358917318,target_entity_type,PullRequest,4902,0.36625821876867903
358917318,target_entity_type,PullRequestReview,42,0.0031380753138075313
358917318,target_entity_type,PullRequestReviewComment,233,0.01740884638374178
358917318,target_entity_type,Release,2,0.00014943215780035862
358917318,target_entity_type,Repo,370,0.027644949193066346
358917318,target_entity_type,Tag,1,7.471607890017931e-05
3786237,target_entity_type,Branch,14,0.0008874239350912779
3786237,target_entity_type,Branch_Tag_GHDir,10,0.0006338742393509128
3786237,target_entity_type,Commit,2048,0.12981744421906694
3786237,target_entity_type,GitHub_Files_FileChanges,351,0.02224898580121704
3786237,target_entity_type,GitHub_GenSer_Other_Links,477,0.03023580121703854
3786237,target_entity_type,Gollum,5,0.0003169371196754564
3786237,target_entity_type,Issue,3421,0.21684837728194725
3786237,target_entity_type,IssueComment,89,0.005641480730223124
3786237,target_entity_type,PullRequest,8455,0.5359406693711968
3786237,target_entity_type,PullRequestReview,2,0.00012677484787018255
3786237,target_entity_type,PullRequestReviewComment,51,0.003232758620689655
3786237,target_entity_type,Release,19,0.0012043610547667343
3786237,target_entity_type,Repo,830,0.05261156186612576
3786237,target_entity_type,Tag,4,0.0002535496957403651
385634291,target_entity_type,Branch,3,0.0001111069960371838
385634291,target_entity_type,Branch_Tag_GHDir,205,0.007592311395874227
385634291,target_entity_type,Commit,1282,0.04747972297322321
385634291,target_entity_type,GitHub_Files_FileChanges,1212,0.044887226399022255
385634291,target_entity_type,GitHub_GenSer_Other_Links,1229,0.04551683270989963
385634291,target_entity_type,Gollum,7,0.00025924965742009555
385634291,target_entity_type,Issue,1029,0.038109699640754044
385634291,target_entity_type,IssueComment,55,0.0020369615940150363
385634291,target_entity_type,PullRequest,20763,0.7689715195733491
385634291,target_entity_type,PullRequestReview,10,0.00037035665345727935
385634291,target_entity_type,PullRequestReviewComment,105,0.0038887448613014334
385634291,target_entity_type,Release,51,0.0018888189326321247
385634291,target_entity_type,Repo,1046,0.03873930595163142
385634291,target_entity_type,Tag,4,0.00014814266138291174
388946490,target_entity_type,Branch,2,0.00011053387863380126
388946490,target_entity_type,Branch_Tag_GHDir,21,0.0011606057256549132
388946490,target_entity_type,Commit,3792,0.20957223388968718
388946490,target_entity_type,GitHub_Files_FileChanges,1117,0.061733171216978
388946490,target_entity_type,GitHub_GenSer_Other_Links,1940,0.10721786227478722
388946490,target_entity_type,Gollum,2,0.00011053387863380126
388946490,target_entity_type,Issue,1881,0.10395711285509009
388946490,target_entity_type,IssueComment,104,0.005747761688957666
388946490,target_entity_type,PullRequest,9041,0.4996683983640986
388946490,target_entity_type,PullRequestReview,17,0.0009395379683873107
388946490,target_entity_type,PullRequestReviewComment,132,0.007295235989830883
388946490,target_entity_type,Release,1,5.526693931690063e-05
388946490,target_entity_type,Repo,44,0.002431745329943628
396867188,target_entity_type,Branch,2,0.0008463817181548879
396867188,target_entity_type,Branch_Tag_GHDir,2,0.0008463817181548879
396867188,target_entity_type,Commit,44,0.018620397799407534
396867188,target_entity_type,CommitComment,1,0.00042319085907744394
396867188,target_entity_type,GitHub_Files_FileChanges,160,0.06771053745239103
