project_id,repo_name,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share
33745913,h2database/h2database,19,23,0,0,19,23,19,0.0699432892249527,0.1739130434782608
5683653,apache/drill,10,23,3,9,7,14,10,0.2060491493383743,0.3043478260869565
291675222,hstreamdb/hstream,4,23,1,1,3,22,4,0.7618147448015123,0.8695652173913043
184981,memcached/memcached,14,22,0,0,14,22,14,0.1033057851239669,0.2272727272727272
49401416,spacejam/sled,6,22,1,1,5,21,6,0.5454545454545456,0.7272727272727273
551374215,cozodb/cozo,15,21,3,3,12,18,15,0.0793650793650793,0.1428571428571428
137869753,appy-one/acebase,9,20,0,0,9,20,9,0.25,0.45
8335020,BrightstarDB/BrightstarDB,2,20,0,0,2,20,2,0.52,0.6
23315232,mbdavid/LiteDB,14,19,0,0,14,19,14,0.0969529085872576,0.2105263157894736
210997817,redwood/redwood,9,19,0,0,9,19,9,0.1412742382271468,0.2631578947368421
2944302,wiredtiger/wiredtiger,9,19,1,6,8,13,9,0.2188365650969529,0.3157894736842105
635374751,jina-ai/vectordb,2,19,0,0,2,19,2,0.8116343490304709,0.8947368421052632
3788366,openlink/virtuoso-opensource,11,18,1,1,10,17,11,0.1111111111111111,0.1666666666666666
276042304,skytable/skytable,7,18,0,0,7,18,7,0.2716049382716049,0.4444444444444444
7502247,lealone/Lealone,11,16,1,2,10,14,11,0.109375,0.1875
6452529,rethinkdb/rethinkdb,10,16,0,0,10,16,10,0.125,0.1875
92329433,canonical/dqlite,10,16,1,1,9,15,10,0.140625,0.25
125234630,danielealbano/cachegrand,7,16,1,1,6,15,7,0.2265625,0.3125
20473418,apache/phoenix,7,16,1,3,6,13,7,0.171875,0.25
270858421,juji-io/datalevin,11,15,1,4,10,11,11,0.1288888888888889,0.2666666666666666
50647838,apache/kudu,11,15,0,0,11,15,11,0.1022222222222222,0.1333333333333333
7083240,orientechnologies/orientdb,7,15,1,1,6,14,7,0.1822222222222222,0.2666666666666666
349627612,khonsulabs/bonsaidb,12,14,1,1,11,13,12,0.0918367346938775,0.1428571428571428
195895847,hivedb/hive,9,13,0,0,9,13,9,0.136094674556213,0.2307692307692307
24494032,mysql/mysql-server,9,13,1,1,8,12,9,0.136094674556213,0.2307692307692307
511030127,ceramicstudio/js-composedb,5,13,0,0,5,13,5,0.3254437869822485,0.4615384615384615
17224514,ehcache/ehcache3,4,13,0,0,4,13,4,0.6094674556213018,0.7692307692307693
11380094,msiemens/tinydb,5,12,0,0,5,12,5,0.2777777777777778,0.4166666666666667
927442,postgres/postgres,3,12,0,0,3,12,3,0.4305555555555556,0.5
266444815,earthstar-project/earthstar,8,11,0,0,8,11,8,0.140495867768595,0.1818181818181818
