metric,rank,value,cdf,ccdf
directed_cross_project_edge_weight,98,1,0.010203019260801666,0.9899010931806351
directed_cross_project_edge_weight,99,1,0.010307131702238417,0.9897969807391983
directed_cross_project_edge_weight,100,1,0.010411244143675169,0.9896928682977616
directed_cross_project_edge_weight,101,1,0.01051535658511192,0.9895887558563248
directed_cross_project_edge_weight,102,1,0.010619469026548672,0.9894846434148881
directed_cross_project_edge_weight,103,1,0.010723581467985424,0.9893805309734514
directed_cross_project_edge_weight,104,1,0.010827693909422176,0.9892764185320145
directed_cross_project_edge_weight,105,1,0.010931806350858927,0.9891723060905778
directed_cross_project_edge_weight,106,1,0.01103591879229568,0.9890681936491411
directed_cross_project_edge_weight,107,1,0.011140031233732431,0.9889640812077043
directed_cross_project_edge_weight,108,1,0.011244143675169183,0.9888599687662676
directed_cross_project_edge_weight,109,1,0.011348256116605934,0.9887558563248308
directed_cross_project_edge_weight,110,1,0.011452368558042686,0.988651743883394
directed_cross_project_edge_weight,111,1,0.011556480999479438,0.9885476314419573
directed_cross_project_edge_weight,112,1,0.01166059344091619,0.9884435190005205
directed_cross_project_edge_weight,113,1,0.011764705882352941,0.9883394065590838
directed_cross_project_edge_weight,114,1,0.011868818323789693,0.9882352941176471
directed_cross_project_edge_weight,115,1,0.011972930765226444,0.9881311816762103
directed_cross_project_edge_weight,116,1,0.012077043206663196,0.9880270692347736
directed_cross_project_edge_weight,117,1,0.012181155648099948,0.9879229567933367
directed_cross_project_edge_weight,118,1,0.0122852680895367,0.9878188443519
directed_cross_project_edge_weight,119,1,0.012389380530973451,0.9877147319104633
directed_cross_project_edge_weight,120,1,0.012493492972410203,0.9876106194690265
directed_cross_project_edge_weight,121,1,0.012597605413846955,0.9875065070275898
directed_cross_project_edge_weight,122,1,0.012701717855283706,0.9874023945861531
directed_cross_project_edge_weight,123,1,0.012805830296720458,0.9872982821447163
directed_cross_project_edge_weight,124,1,0.01290994273815721,0.9871941697032796
directed_cross_project_edge_weight,125,1,0.013014055179593961,0.9870900572618427
directed_cross_project_edge_weight,126,1,0.013118167621030713,0.986985944820406
directed_cross_project_edge_weight,127,1,0.013222280062467465,0.9868818323789693
directed_cross_project_edge_weight,128,1,0.013326392503904216,0.9867777199375325
directed_cross_project_edge_weight,129,1,0.013430504945340968,0.9866736074960958
directed_cross_project_edge_weight,130,1,0.01353461738677772,0.9865694950546591
directed_cross_project_edge_weight,131,1,0.013638729828214471,0.9864653826132223
directed_cross_project_edge_weight,132,1,0.013742842269651223,0.9863612701717855
directed_cross_project_edge_weight,133,1,0.013846954711087975,0.9862571577303487
directed_cross_project_edge_weight,134,1,0.013951067152524727,0.986153045288912
directed_cross_project_edge_weight,135,1,0.014055179593961478,0.9860489328474753
directed_cross_project_edge_weight,136,1,0.01415929203539823,0.9859448204060385
directed_cross_project_edge_weight,137,1,0.014263404476834982,0.9858407079646018
directed_cross_project_edge_weight,138,1,0.014367516918271733,0.9857365955231651
directed_cross_project_edge_weight,139,1,0.014471629359708485,0.9856324830817282
directed_cross_project_edge_weight,140,1,0.014575741801145237,0.9855283706402915
directed_cross_project_edge_weight,141,1,0.014679854242581988,0.9854242581988547
directed_cross_project_edge_weight,142,1,0.01478396668401874,0.985320145757418
directed_cross_project_edge_weight,143,1,0.014888079125455492,0.9852160333159813
directed_cross_project_edge_weight,144,1,0.014992191566892243,0.9851119208745445
directed_cross_project_edge_weight,145,1,0.015096304008328995,0.9850078084331078
directed_cross_project_edge_weight,146,1,0.015200416449765747,0.984903695991671
directed_cross_project_edge_weight,147,1,0.015304528891202498,0.9847995835502342
directed_cross_project_edge_weight,148,1,0.01540864133263925,0.9846954711087975
directed_cross_project_edge_weight,149,1,0.015512753774076002,0.9845913586673607
directed_cross_project_edge_weight,150,1,0.015616866215512754,0.984487246225924
directed_cross_project_edge_weight,151,1,0.015720978656949505,0.9843831337844873
directed_cross_project_edge_weight,152,1,0.015825091098386257,0.9842790213430505
directed_cross_project_edge_weight,153,1,0.01592920353982301,0.9841749089016137
directed_cross_project_edge_weight,154,1,0.01603331598125976,0.984070796460177
directed_cross_project_edge_weight,155,1,0.016137428422696512,0.9839666840187402
directed_cross_project_edge_weight,156,1,0.016241540864133264,0.9838625715773035
directed_cross_project_edge_weight,157,1,0.016345653305570015,0.9837584591358667
directed_cross_project_edge_weight,158,1,0.016449765747006767,0.98365434669443
directed_cross_project_edge_weight,159,1,0.01655387818844352,0.9835502342529933
directed_cross_project_edge_weight,160,1,0.01665799062988027,0.9834461218115564
directed_cross_project_edge_weight,161,1,0.016762103071317022,0.9833420093701197
directed_cross_project_edge_weight,162,1,0.016866215512753774,0.983237896928683
directed_cross_project_edge_weight,163,1,0.016970327954190526,0.9831337844872462
directed_cross_project_edge_weight,164,1,0.017074440395627277,0.9830296720458095
directed_cross_project_edge_weight,165,1,0.01717855283706403,0.9829255596043727
directed_cross_project_edge_weight,166,1,0.01728266527850078,0.982821447162936
directed_cross_project_edge_weight,167,1,0.017386777719937532,0.9827173347214992
directed_cross_project_edge_weight,168,1,0.017490890161374284,0.9826132222800624
directed_cross_project_edge_weight,169,1,0.017595002602811036,0.9825091098386257
directed_cross_project_edge_weight,170,1,0.017699115044247787,0.982404997397189
directed_cross_project_edge_weight,171,1,0.01780322748568454,0.9823008849557522
directed_cross_project_edge_weight,172,1,0.01790733992712129,0.9821967725143155
directed_cross_project_edge_weight,173,1,0.018011452368558042,0.9820926600728787
directed_cross_project_edge_weight,174,1,0.018115564809994794,0.9819885476314419
directed_cross_project_edge_weight,175,1,0.018219677251431546,0.9818844351900052
directed_cross_project_edge_weight,176,1,0.018323789692868298,0.9817803227485684
directed_cross_project_edge_weight,177,1,0.01842790213430505,0.9816762103071317
directed_cross_project_edge_weight,178,1,0.0185320145757418,0.981572097865695
directed_cross_project_edge_weight,179,1,0.018636127017178553,0.9814679854242582
directed_cross_project_edge_weight,180,1,0.018740239458615304,0.9813638729828215
directed_cross_project_edge_weight,181,1,0.018844351900052056,0.9812597605413846
directed_cross_project_edge_weight,182,1,0.018948464341488808,0.9811556480999479
directed_cross_project_edge_weight,183,1,0.01905257678292556,0.9810515356585112
directed_cross_project_edge_weight,184,1,0.01915668922436231,0.9809474232170744
directed_cross_project_edge_weight,185,1,0.019260801665799063,0.9808433107756377
directed_cross_project_edge_weight,186,1,0.019364914107235814,0.980739198334201
directed_cross_project_edge_weight,187,1,0.019469026548672566,0.9806350858927642
directed_cross_project_edge_weight,188,1,0.019573138990109318,0.9805309734513274
directed_cross_project_edge_weight,189,1,0.01967725143154607,0.9804268610098906
directed_cross_project_edge_weight,190,1,0.01978136387298282,0.9803227485684539
directed_cross_project_edge_weight,191,1,0.019885476314419573,0.9802186361270172
directed_cross_project_edge_weight,192,1,0.019989588755856325,0.9801145236855804
directed_cross_project_edge_weight,193,1,0.020093701197293076,0.9800104112441437
directed_cross_project_edge_weight,194,1,0.020197813638729828,0.979906298802707
directed_cross_project_edge_weight,195,1,0.02030192608016658,0.9798021863612701
directed_cross_project_edge_weight,196,1,0.02040603852160333,0.9796980739198334
directed_cross_project_edge_weight,197,1,0.020510150963040083,0.9795939614783966
directed_cross_project_edge_weight,198,1,0.020614263404476835,0.9794898490369599
directed_cross_project_edge_weight,199,1,0.020718375845913586,0.9793857365955232
directed_cross_project_edge_weight,200,1,0.020822488287350338,0.9792816241540864
directed_cross_project_edge_weight,201,1,0.02092660072878709,0.9791775117126497
directed_cross_project_edge_weight,202,1,0.02103071317022384,0.979073399271213
directed_cross_project_edge_weight,203,1,0.021134825611660593,0.9789692868297761
directed_cross_project_edge_weight,204,1,0.021238938053097345,0.9788651743883394
directed_cross_project_edge_weight,205,1,0.021343050494534097,0.9787610619469026
directed_cross_project_edge_weight,206,1,0.021447162935970848,0.9786569495054659
directed_cross_project_edge_weight,207,1,0.0215512753774076,0.9785528370640292
directed_cross_project_edge_weight,208,1,0.02165538781884435,0.9784487246225924
directed_cross_project_edge_weight,209,1,0.021759500260281103,0.9783446121811556
directed_cross_project_edge_weight,210,1,0.021863612701717855,0.9782404997397189
directed_cross_project_edge_weight,211,1,0.021967725143154607,0.9781363872982821
directed_cross_project_edge_weight,212,1,0.02207183758459136,0.9780322748568454
directed_cross_project_edge_weight,213,1,0.02217595002602811,0.9779281624154086
directed_cross_project_edge_weight,214,1,0.022280062467464862,0.9778240499739719
directed_cross_project_edge_weight,215,1,0.022384174908901613,0.9777199375325352
directed_cross_project_edge_weight,216,1,0.022488287350338365,0.9776158250910983
directed_cross_project_edge_weight,217,1,0.022592399791775117,0.9775117126496616
directed_cross_project_edge_weight,218,1,0.02269651223321187,0.9774076002082249
directed_cross_project_edge_weight,219,1,0.02280062467464862,0.9773034877667881
