DBMS_urnform,DBMS_common_name,snapshot_month,repo_state,github_repo_id,github_repo_link,open_source_license,open_source_license_state,manu_labeled_flag,match_state
voldemort,Project Voldemort,202407,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202408,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202409,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voldemort,Project Voldemort,202410,VALID_NUMERIC_REPO_ID,214605,voldemort/voldemort,Y,ELIGIBLE,Y,Fuzzy:Normal
voltdb,VoltDB,202401,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202402,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202403,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202404,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202405,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202406,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202407,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202408,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202409,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
voltdb,VoltDB,202410,VALID_NUMERIC_REPO_ID,2445970,VoltDB/voltdb,Y,ELIGIBLE,Y_auto,Normal
vsql,vsql,202401,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202402,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202403,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202404,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202405,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202406,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202407,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202408,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202409,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vsql,vsql,202410,VALID_NUMERIC_REPO_ID,387622288,elliotchance/vsql,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202401,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202402,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202403,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202404,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202405,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202406,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
vyhodb,vyhodb,202407,VALID_NUMERIC_REPO_ID,531145841,igor-bul/vyhodb,Y,ELIGIBLE,Y_auto,X_Single
