seed_order,seed_repo_id,seed_repo_name,filename,aggregate_rows_v1,aggregate_rows_v2,aggregate_core_no_drift,source_aggregate_drift_rows,target_aggregate_drift_rows,relation_type_drift_rows,reference_multiplicity_drift,aggregate_join_statuses,admitted_rows,rejected_rows,expected_source_context_repo_id
74,201403923,activeloopai/deeplake,activeloopai_deeplake_2023.csv,24462,24462,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 24462}",24462,0,201403923
75,396856161,authzed/spicedb,authzed_spicedb_2023.csv,4019,4019,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 4019}",4019,0,396856161
76,581145740,ByConity/ByConity,ByConity_ByConity_2023.csv,3900,3900,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3900}",3900,0,581145740
77,11695619,eXist-db/exist,eXist-db_exist_2023.csv,20857,20857,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 20857}",20857,0,11695619
78,420965027,cnosdb/cnosdb,cnosdb_cnosdb_2023.csv,2075,2075,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2075}",2075,0,420965027
79,49412556,quickwit-oss/tantivy,quickwit-oss_tantivy_2023.csv,6163,6163,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 6163}",6163,0,49412556
80,449924556,tigrisdata/tigris,tigrisdata_tigris_2023.csv,5039,5039,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5039}",5039,0,449924556
81,54005538,FirebirdSQL/firebird,FirebirdSQL_firebird_2023.csv,2015,2015,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2015}",2015,0,54005538
82,372536760,oceanbase/oceanbase,oceanbase_oceanbase_2023.csv,2584,2584,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2584}",2584,0,372536760
83,5844474,EventStore/EventStore,EventStore_EventStore_2023.csv,4106,4106,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 4106}",4106,0,5844474
84,520096046,marqo-ai/marqo,marqo-ai_marqo_2023.csv,2087,2087,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2087}",2087,0,520096046
85,146459443,vesoft-inc/nebula,vesoft-inc_nebula_2023.csv,2317,2317,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2317}",2317,0,146459443
86,30449481,apache/tinkerpop,apache_tinkerpop_2023.csv,5921,5921,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5921}",5921,0,30449481
87,462329984,speedb-io/speedb,speedb-io_speedb_2023.csv,3422,3422,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3422}",3422,0,462329984
88,75425073,pubkey/rxdb,pubkey_rxdb_2023.csv,43463,43463,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 43463}",43463,0,75425073
89,141376301,apache/incubator-hugegraph,apache_incubator-hugegraph_2023.csv,3193,3193,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3193}",3193,0,141376301
90,91593042,bloomberg/comdb2,bloomberg_comdb2_2023.csv,2771,2771,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2771}",2771,0,91593042
91,94593596,etcd-io/bbolt,etcd-io_bbolt_2023.csv,1940,1940,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1940}",1940,0,94593596
92,95614931,manticoresoftware/manticoresearch,manticoresoftware_manticoresearch_2023.csv,3872,3872,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3872}",3872,0,95614931
93,607441698,lancedb/lancedb,lancedb_lancedb_2023.csv,2882,2882,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2882}",2882,0,607441698
94,77385607,JanusGraph/janusgraph,JanusGraph_janusgraph_2023.csv,8201,8201,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 8201}",8201,0,77385607
95,20473418,apache/phoenix,apache_phoenix_2023.csv,820,820,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 820}",820,0,20473418
96,220186120,codenotary/immudb,codenotary_immudb_2023.csv,18141,18141,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 18141}",18141,0,220186120
97,510607652,pocketbase/pocketbase,pocketbase_pocketbase_2023.csv,1995,1995,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1995}",1995,0,510607652
98,148087762,georgia-tech-db/eva,georgia-tech-db_eva_2023.csv,6739,6739,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 6739}",6739,0,148087762
99,396867188,ArcadeData/arcadedb,ArcadeData_arcadedb_2023.csv,3851,3851,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 3851}",3851,0,396867188
100,456549280,ydb-platform/ydb,ydb-platform_ydb_2023.csv,5728,5728,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 5728}",5728,0,456549280
101,34533675,apache/sedona,apache_sedona_2023.csv,2044,2044,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2044}",2044,0,34533675
102,79317191,typesense/typesense,typesense_typesense_2023.csv,1387,1387,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1387}",1387,0,79317191
103,125824259,xtdb/xtdb,xtdb_xtdb_2023.csv,1154,1154,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1154}",1154,0,125824259
104,87414843,hyrise/hyrise,hyrise_hyrise_2023.csv,890,890,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 890}",890,0,87414843
105,678214856,timeplus-io/proton,timeplus-io_proton_2023.csv,2070,2070,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2070}",2070,0,678214856
106,644742603,cloudberrydb/cloudberrydb,cloudberrydb_cloudberrydb_2023.csv,1502,1502,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1502}",1502,0,644742603
107,47973088,gchq/Gaffer,gchq_Gaffer_2023.csv,2201,2201,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2201}",2201,0,47973088
108,305513242,fluree/db,fluree_db_2023.csv,2192,2192,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 2192}",2192,0,305513242
109,66783145,couchbase/couchbase-lite-core,couchbase_couchbase-lite-core_2023.csv,889,889,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 889}",889,0,66783145
110,84458512,RedisGraph/RedisGraph,RedisGraph_RedisGraph_2023.csv,4477,4477,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 4477}",4477,0,84458512
111,442441933,mabel-dev/opteryx,mabel-dev_opteryx_2023.csv,16114,16114,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 16114}",16114,0,442441933
112,7437073,apache/jena,apache_jena_2023.csv,1811,1811,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1811}",1811,0,7437073
113,13124802,influxdata/influxdb,influxdata_influxdb_2023.csv,1458,1458,PASS,0,0,0,0,"{""MATCHED_UNIQUE"": 1458}",1458,0,13124802
