DBMS_urnform,github_repo_id,annotation_repo_created_at,activity_repo_created_at,seed_manifest_repo_created_at,project_profile_repo_created_at,all_values_equal,value_missing,source_artifact_paths,provenance_status
tarantool,911980,2010-09-15T07:59:26Z,2010-09-15T07:59:26Z,2010-09-15T07:59:26Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
etcd,11225014,2013-07-06T21:57:21Z,2013-07-06T21:57:21Z,2013-07-06T21:57:21Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
arangodb,2649214,2011-10-26T06:42:00Z,2011-10-26T06:42:00Z,2011-10-26T06:42:00Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
kyuubi,114619105,2017-12-18T09:05:10Z,2017-12-18T09:05:10Z,2017-12-18T09:05:10Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
vespa,60377070,2016-06-03T20:54:20Z,2016-06-03T20:54:20Z,2016-06-03T20:54:20Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
ravendb,542714,2010-03-02T11:05:30Z,2010-03-02T11:05:30Z,2010-03-02T11:05:30Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
iotdb,158975124,2018-11-24T21:29:17Z,2018-11-24T21:29:17Z,2018-11-24T21:29:17Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
cassandra,206424,2009-05-21T02:10:09Z,2009-05-21T02:10:09Z,2009-05-21T02:10:09Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
redis,156018,2009-03-21T22:32:25Z,2009-03-21T22:32:25Z,2009-03-21T22:32:25Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
tdengine,196353673,2019-07-11T08:33:48Z,2019-07-11T08:33:48Z,2019-07-11T08:33:48Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
timescaledb,84240850,2017-03-07T20:03:41Z,2017-03-07T20:03:41Z,2017-03-07T20:03:41Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
cratedb,9342529,2013-04-10T09:17:16Z,2013-04-10T09:17:16Z,2013-04-10T09:17:16Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
victoriametrics,150954997,2018-09-30T09:58:01Z,2018-09-30T09:58:01Z,2018-09-30T09:58:01Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
qdrant,268163609,2020-05-30T21:37:01Z,2020-05-30T21:37:01Z,2020-05-30T21:37:01Z,NOT_AVAILABLE,TRUE,FALSE,data/github_osdb_data/dbfeatfusion_records_202410_automerged_manulabeled_with_repoid.csv;data/github_osdb_data/repo_activity_statistics/repo_i_pr_rec_cnt.csv;outputs/reference_quotient_p0_frozen/analysis_seed_manifest_294.csv;outputs/reference_quotient_p0_frozen/rq1_project_reference_profiles.csv,MULTI_ARTIFACT_CONSISTENT_SOURCE_ORIGIN_UNKNOWN
