seed_order,seed_repo_id,seed_repo_name,filename,relation_rows,reference_rows,reference_admitted_rows,reference_admitted_events,reference_out_of_seed_rows,reference_out_of_seed_events,all_admitted_rows,all_out_of_seed_rows,all_missing_event_repo_rows,all_invalid_event_repo_rows,source_seed_mismatch_after_admission,affected_source_seed
126,65259211,xap/xap,xap_xap_2023.csv,13450,1503,1503,425,0,0,13450,0,0,0,0,NO
127,30753733,percona/percona-server,percona_percona-server_2023.csv,6828,1231,1231,432,0,0,6828,0,0,0,0,NO
128,661663226,maxnowack/signaldb,maxnowack_signaldb_2023.csv,19131,9920,9920,814,0,0,19131,0,0,0,0,NO
129,67904342,Expensify/Bedrock,Expensify_Bedrock_2023.csv,8153,916,916,553,0,0,8153,0,0,0,0,NO
130,184981,memcached/memcached,memcached_memcached_2023.csv,5443,344,344,152,0,0,5443,0,0,0,0,NO
131,323389945,logicalclocks/rondb,logicalclocks_rondb_2023.csv,5294,396,396,201,0,0,5294,0,0,0,0,NO
132,198466472,terminusdb/terminusdb,terminusdb_terminusdb_2023.csv,11515,1878,1878,725,0,0,11515,0,0,0,0,NO
133,23247808,rqlite/rqlite,rqlite_rqlite_2023.csv,13727,1170,1170,587,0,0,13727,0,0,0,0,NO
134,80087836,dgraph-io/badger,dgraph-io_badger_2023.csv,8403,1358,1358,454,0,0,8403,0,0,0,0,NO
135,50594316,senx/warp10-platform,senx_warp10-platform_2023.csv,4356,179,179,157,0,0,4356,0,0,0,0,NO
136,150013328,cberner/redb,cberner_redb_2023.csv,6844,275,275,206,0,0,6844,0,0,0,0,NO
137,714074,pouchdb/pouchdb,pouchdb_pouchdb_2023.csv,5556,713,713,435,0,0,5556,0,0,0,0,NO
138,9595928,mirage/irmin,mirage_irmin_2023.csv,4764,914,914,322,0,0,4764,0,0,0,0,NO
139,543276238,libsql/libsql,libsql_libsql_2023.csv,9057,954,954,404,0,0,9057,0,0,0,0,NO
140,510375115,splitgraph/seafowl,splitgraph_seafowl_2023.csv,6694,1463,1463,501,0,0,6694,0,0,0,0,NO
141,168712350,Snapchat/KeyDB,Snapchat_KeyDB_2023.csv,7302,825,825,357,0,0,7302,0,0,0,0,NO
142,25780780,AlaSQL/alasql,AlaSQL_alasql_2023.csv,18687,11798,11798,582,0,0,18687,0,0,0,0,NO
143,511030127,ceramicstudio/js-composedb,ceramicstudio_js-composedb_2023.csv,5358,521,521,354,0,0,5358,0,0,0,0,NO
144,5683653,apache/drill,apache_drill_2023.csv,3684,518,518,355,0,0,3684,0,0,0,0,NO
145,4604367,sirixdb/sirix,sirixdb_sirix_2023.csv,4950,703,703,303,0,0,4950,0,0,0,0,NO
146,207663235,cmu-db/bustub,cmu-db_bustub_2023.csv,8806,845,845,390,0,0,8806,0,0,0,0,NO
147,23013460,lsst/qserv,lsst_qserv_2023.csv,4996,50,50,47,0,0,4996,0,0,0,0,NO
148,39519916,percona/percona-server-mongodb,percona_percona-server-mongodb_2023.csv,5383,927,927,192,0,0,5383,0,0,0,0,NO
149,17224514,ehcache/ehcache3,ehcache_ehcache3_2023.csv,2437,174,174,120,0,0,2437,0,0,0,0,NO
150,31315021,Kinto/kinto,Kinto_kinto_2023.csv,7870,3667,3667,533,0,0,7870,0,0,0,0,NO
151,432844875,orioledb/orioledb,orioledb_orioledb_2023.csv,6151,839,839,345,0,0,6151,0,0,0,0,NO
152,606433492,chdb-io/chdb,chdb-io_chdb_2023.csv,5362,592,592,263,0,0,5362,0,0,0,0,NO
153,3788366,openlink/virtuoso-opensource,openlink_virtuoso-opensource_2023.csv,2315,511,511,260,0,0,2315,0,0,0,0,NO
154,344711168,IceFireDB/IceFireDB,IceFireDB_IceFireDB_2023.csv,6587,1800,1800,541,0,0,6587,0,0,0,0,NO
155,551374215,cozodb/cozo,cozodb_cozo_2023.csv,3358,315,315,187,0,0,3358,0,0,0,0,NO
156,393235957,risinglightdb/risinglight,risinglightdb_risinglight_2023.csv,3701,775,775,220,0,0,3701,0,0,0,0,NO
157,28738447,apache/kylin,apache_kylin_2023.csv,5704,2844,2844,225,0,0,5704,0,0,0,0,NO
158,91715647,gnocchixyz/gnocchi,gnocchixyz_gnocchi_2023.csv,2560,667,667,207,0,0,2560,0,0,0,0,NO
159,125234630,danielealbano/cachegrand,danielealbano_cachegrand_2023.csv,5353,1187,1187,321,0,0,5353,0,0,0,0,NO
160,7502247,lealone/Lealone,lealone_Lealone_2023.csv,3578,130,130,93,0,0,3578,0,0,0,0,NO
161,664816265,scratchdata/ScratchDB,scratchdata_ScratchDB_2023.csv,3621,282,282,144,0,0,3621,0,0,0,0,NO
162,316690542,MonetDB/MonetDB,MonetDB_MonetDB_2023.csv,7048,260,260,186,0,0,7048,0,0,0,0,NO
163,92329433,canonical/dqlite,canonical_dqlite_2023.csv,2353,452,452,132,0,0,2353,0,0,0,0,NO
164,79901405,objectbox/objectbox-java,objectbox_objectbox-java_2023.csv,1727,285,285,154,0,0,1727,0,0,0,0,NO
165,61153677,m3db/m3,m3db_m3_2023.csv,3680,1195,1195,186,0,0,3680,0,0,0,0,NO
166,7083240,orientechnologies/orientdb,orientechnologies_orientdb_2023.csv,2552,397,397,173,0,0,2552,0,0,0,0,NO
167,24494032,mysql/mysql-server,mysql_mysql-server_2023.csv,5266,860,860,166,0,0,5266,0,0,0,0,NO
168,664133375,epsilla-cloud/vectordb,epsilla-cloud_vectordb_2023.csv,3988,262,262,148,0,0,3988,0,0,0,0,NO
169,195895847,hivedb/hive,hivedb_hive_2023.csv,1877,186,186,110,0,0,1877,0,0,0,0,NO
170,23315232,mbdavid/LiteDB,mbdavid_LiteDB_2023.csv,2778,256,256,130,0,0,2778,0,0,0,0,NO
171,143253020,microsoft/FASTER,microsoft_FASTER_2023.csv,4261,710,710,193,0,0,4261,0,0,0,0,NO
172,441299511,reductstore/reductstore,reductstore_reductstore_2023.csv,4357,365,365,200,0,0,4357,0,0,0,0,NO
173,1374129,BaseXdb/basex,BaseXdb_basex_2023.csv,2601,293,293,208,0,0,2601,0,0,0,0,NO
