source_project_id,dimension,category,count,within_object_share
334274271,source_entity_type,PullRequest,11294,0.10702271413545092
334274271,source_entity_type,PullRequestReview,246,0.0023311127746875266
334274271,source_entity_type,PullRequestReviewComment,1176,0.011143856191189152
334274271,source_entity_type,Push,10944,0.10370609026902558
334274271,source_entity_type,Release,916,0.008680078461844612
344711168,event_type,IssueCommentEvent,31,0.030723488602576808
344711168,event_type,PullRequestEvent,251,0.2487611496531219
344711168,event_type,PushEvent,727,0.7205153617443013
344711168,source_entity_type,IssueComment,31,0.030723488602576808
344711168,source_entity_type,PullRequest,251,0.2487611496531219
344711168,source_entity_type,Push,727,0.7205153617443013
346976717,event_type,IssueCommentEvent,1962,0.6167871738447029
346976717,event_type,IssuesEvent,92,0.028921722728701665
346976717,event_type,PullRequestEvent,257,0.0807922037095253
346976717,event_type,PullRequestReviewCommentEvent,31,0.009745363093366866
346976717,event_type,PullRequestReviewEvent,14,0.0044011317195850365
346976717,event_type,PushEvent,825,0.2593524049041182
346976717,source_entity_type,Issue,92,0.028921722728701665
346976717,source_entity_type,IssueComment,1962,0.6167871738447029
346976717,source_entity_type,PullRequest,257,0.0807922037095253
346976717,source_entity_type,PullRequestReview,14,0.0044011317195850365
346976717,source_entity_type,PullRequestReviewComment,31,0.009745363093366866
346976717,source_entity_type,Push,825,0.2593524049041182
351806852,event_type,CommitCommentEvent,10,0.00028541256386106117
351806852,event_type,IssueCommentEvent,3056,0.0872220795159403
351806852,event_type,IssuesEvent,422,0.01204441019493678
351806852,event_type,PullRequestEvent,1224,0.034934497816593885
351806852,event_type,PullRequestReviewCommentEvent,1075,0.030681850615064076
351806852,event_type,PullRequestReviewEvent,201,0.0057367925336073294
351806852,event_type,PushEvent,28122,0.8026372120900762
351806852,event_type,ReleaseEvent,927,0.02645774466992037
351806852,source_entity_type,CommitComment,10,0.00028541256386106117
351806852,source_entity_type,Issue,422,0.01204441019493678
351806852,source_entity_type,IssueComment,3056,0.0872220795159403
351806852,source_entity_type,PullRequest,1224,0.034934497816593885
351806852,source_entity_type,PullRequestReview,201,0.0057367925336073294
351806852,source_entity_type,PullRequestReviewComment,1075,0.030681850615064076
351806852,source_entity_type,Push,28122,0.8026372120900762
351806852,source_entity_type,Release,927,0.02645774466992037
357707809,event_type,IssueCommentEvent,418,0.042858607607915516
357707809,event_type,IssuesEvent,178,0.018250794627294165
357707809,event_type,PullRequestEvent,491,0.05034348405618784
357707809,event_type,PullRequestReviewCommentEvent,56,0.005741823028811648
357707809,event_type,PullRequestReviewEvent,19,0.0019481185276325234
357707809,event_type,PushEvent,8585,0.8802419768276428
357707809,event_type,ReleaseEvent,6,0.0006151953245155337
357707809,source_entity_type,Issue,178,0.018250794627294165
357707809,source_entity_type,IssueComment,418,0.042858607607915516
357707809,source_entity_type,PullRequest,491,0.05034348405618784
357707809,source_entity_type,PullRequestReview,19,0.0019481185276325234
357707809,source_entity_type,PullRequestReviewComment,56,0.005741823028811648
357707809,source_entity_type,Push,8585,0.8802419768276428
357707809,source_entity_type,Release,6,0.0006151953245155337
358917318,event_type,CommitCommentEvent,1,7.471607890017931e-05
358917318,event_type,IssueCommentEvent,3950,0.2951285116557083
358917318,event_type,IssuesEvent,1233,0.0921249252839211
358917318,event_type,PullRequestEvent,3712,0.27734608487746565
358917318,event_type,PullRequestReviewCommentEvent,930,0.06948595337716677
358917318,event_type,PullRequestReviewEvent,459,0.03429468021518231
358917318,event_type,PushEvent,3099,0.2315451285116557
358917318,source_entity_type,CommitComment,1,7.471607890017931e-05
358917318,source_entity_type,Issue,1233,0.0921249252839211
358917318,source_entity_type,IssueComment,3950,0.2951285116557083
358917318,source_entity_type,PullRequest,3712,0.27734608487746565
358917318,source_entity_type,PullRequestReview,459,0.03429468021518231
358917318,source_entity_type,PullRequestReviewComment,930,0.06948595337716677
358917318,source_entity_type,Push,3099,0.2315451285116557
3786237,event_type,IssueCommentEvent,668,0.04234279918864097
3786237,event_type,IssuesEvent,351,0.02224898580121704
3786237,event_type,PullRequestEvent,1390,0.08810851926977688
3786237,event_type,PullRequestReviewCommentEvent,736,0.04665314401622718
3786237,event_type,PullRequestReviewEvent,52,0.0032961460446247464
3786237,event_type,PushEvent,12318,0.7808062880324543
3786237,event_type,ReleaseEvent,261,0.016544117647058824
3786237,source_entity_type,Issue,351,0.02224898580121704
3786237,source_entity_type,IssueComment,668,0.04234279918864097
3786237,source_entity_type,PullRequest,1390,0.08810851926977688
3786237,source_entity_type,PullRequestReview,52,0.0032961460446247464
3786237,source_entity_type,PullRequestReviewComment,736,0.04665314401622718
3786237,source_entity_type,Push,12318,0.7808062880324543
3786237,source_entity_type,Release,261,0.016544117647058824
385634291,event_type,CommitCommentEvent,2,7.407133069145587e-05
385634291,event_type,IssueCommentEvent,973,0.03603570238139328
385634291,event_type,IssuesEvent,448,0.016591978074886115
385634291,event_type,PullRequestEvent,1790,0.066293840968853
385634291,event_type,PullRequestReviewCommentEvent,767,0.028406355320173327
385634291,event_type,PullRequestReviewEvent,131,0.0048516721602903596
385634291,event_type,PushEvent,21670,0.8025628680419243
385634291,event_type,ReleaseEvent,1220,0.04518351172178808
385634291,source_entity_type,CommitComment,2,7.407133069145587e-05
385634291,source_entity_type,Issue,448,0.016591978074886115
385634291,source_entity_type,IssueComment,973,0.03603570238139328
385634291,source_entity_type,PullRequest,1790,0.066293840968853
385634291,source_entity_type,PullRequestReview,131,0.0048516721602903596
385634291,source_entity_type,PullRequestReviewComment,767,0.028406355320173327
385634291,source_entity_type,Push,21670,0.8025628680419243
385634291,source_entity_type,Release,1220,0.04518351172178808
388946490,event_type,CommitCommentEvent,1,5.526693931690063e-05
388946490,event_type,IssueCommentEvent,3339,0.1845363103791312
388946490,event_type,IssuesEvent,538,0.029733613352492538
388946490,event_type,PullRequestEvent,867,0.047916436387752843
388946490,event_type,PullRequestReviewCommentEvent,763,0.04216867469879518
388946490,event_type,PullRequestReviewEvent,81,0.004476622084668951
388946490,event_type,PushEvent,12505,0.6911130761578423
388946490,source_entity_type,CommitComment,1,5.526693931690063e-05
388946490,source_entity_type,Issue,538,0.029733613352492538
388946490,source_entity_type,IssueComment,3339,0.1845363103791312
388946490,source_entity_type,PullRequest,867,0.047916436387752843
388946490,source_entity_type,PullRequestReview,81,0.004476622084668951
388946490,source_entity_type,PullRequestReviewComment,763,0.04216867469879518
388946490,source_entity_type,Push,12505,0.6911130761578423
396867188,event_type,CommitCommentEvent,5,0.0021159542953872196
396867188,event_type,IssueCommentEvent,197,0.08336859923825646
396867188,event_type,IssuesEvent,89,0.03766398645789251
396867188,event_type,PullRequestEvent,188,0.07955988150655946
396867188,event_type,PullRequestReviewCommentEvent,1,0.00042319085907744394
396867188,event_type,PushEvent,1474,0.6237833262801523
396867188,event_type,ReleaseEvent,409,0.17308506136267457
396867188,source_entity_type,CommitComment,5,0.0021159542953872196
396867188,source_entity_type,Issue,89,0.03766398645789251
396867188,source_entity_type,IssueComment,197,0.08336859923825646
396867188,source_entity_type,PullRequest,188,0.07955988150655946
396867188,source_entity_type,PullRequestReviewComment,1,0.00042319085907744394
396867188,source_entity_type,Push,1474,0.6237833262801523
396867188,source_entity_type,Release,409,0.17308506136267457
41349039,event_type,CommitCommentEvent,3,0.0003546518501004847
41349039,event_type,IssueCommentEvent,133,0.015722898687788155
41349039,event_type,IssuesEvent,39,0.004610474051306301
41349039,event_type,PullRequestEvent,158,0.01867833077195886
41349039,event_type,PullRequestReviewCommentEvent,35,0.004137604917838988
41349039,event_type,PullRequestReviewEvent,7,0.0008275209835677976
41349039,event_type,PushEvent,7775,0.9191393781770895
41349039,event_type,ReleaseEvent,309,0.03652914056034992
41349039,source_entity_type,CommitComment,3,0.0003546518501004847
41349039,source_entity_type,Issue,39,0.004610474051306301
41349039,source_entity_type,IssueComment,133,0.015722898687788155
41349039,source_entity_type,PullRequest,158,0.01867833077195886
41349039,source_entity_type,PullRequestReview,7,0.0008275209835677976
41349039,source_entity_type,PullRequestReviewComment,35,0.004137604917838988
41349039,source_entity_type,Push,7775,0.9191393781770895
41349039,source_entity_type,Release,309,0.03652914056034992
41986369,event_type,IssueCommentEvent,113921,0.8132392938472192
41986369,event_type,IssuesEvent,1321,0.009430123569598024
41986369,event_type,PullRequestEvent,10013,0.07147905170506057
41986369,event_type,PullRequestReviewCommentEvent,603,0.004304590849710529
41986369,event_type,PullRequestReviewEvent,40,0.00028554499832242314
41986369,event_type,PushEvent,13814,0.09861296517064883
41986369,event_type,ReleaseEvent,371,0.0026484298594404744
41986369,source_entity_type,Issue,1321,0.009430123569598024
41986369,source_entity_type,IssueComment,113921,0.8132392938472192
41986369,source_entity_type,PullRequest,10013,0.07147905170506057
41986369,source_entity_type,PullRequestReview,40,0.00028554499832242314
41986369,source_entity_type,PullRequestReviewComment,603,0.004304590849710529
41986369,source_entity_type,Push,13814,0.09861296517064883
41986369,source_entity_type,Release,371,0.0026484298594404744
422821402,event_type,IssueCommentEvent,511,0.07831417624521073
422821402,event_type,IssuesEvent,494,0.0757088122605364
422821402,event_type,PullRequestEvent,989,0.15157088122605364
422821402,event_type,PullRequestReviewCommentEvent,333,0.05103448275862069
422821402,event_type,PullRequestReviewEvent,61,0.009348659003831418
422821402,event_type,PushEvent,3227,0.4945593869731801
422821402,event_type,ReleaseEvent,910,0.13946360153256704
422821402,source_entity_type,Issue,494,0.0757088122605364
422821402,source_entity_type,IssueComment,511,0.07831417624521073
422821402,source_entity_type,PullRequest,989,0.15157088122605364
422821402,source_entity_type,PullRequestReview,61,0.009348659003831418
422821402,source_entity_type,PullRequestReviewComment,333,0.05103448275862069
422821402,source_entity_type,Push,3227,0.4945593869731801
422821402,source_entity_type,Release,910,0.13946360153256704
449924556,event_type,IssueCommentEvent,966,0.34524660471765545
449924556,event_type,IssuesEvent,15,0.005360972122944961
449924556,event_type,PullRequestEvent,43,0.015368120085775554
449924556,event_type,PullRequestReviewCommentEvent,5,0.0017869907076483202
449924556,event_type,PullRequestReviewEvent,2,0.0007147962830593281
449924556,event_type,PushEvent,862,0.3080771979985704
449924556,event_type,ReleaseEvent,905,0.32344531808434596
449924556,source_entity_type,Issue,15,0.005360972122944961
449924556,source_entity_type,IssueComment,966,0.34524660471765545
449924556,source_entity_type,PullRequest,43,0.015368120085775554
449924556,source_entity_type,PullRequestReview,2,0.0007147962830593281
449924556,source_entity_type,PullRequestReviewComment,5,0.0017869907076483202
449924556,source_entity_type,Push,862,0.3080771979985704
449924556,source_entity_type,Release,905,0.32344531808434596
453068084,event_type,CommitCommentEvent,3,3.8639378678790846e-05
453068084,event_type,IssueCommentEvent,2921,0.03762187504024935
453068084,event_type,IssuesEvent,1226,0.015790626086732526
453068084,event_type,PullRequestEvent,7662,0.09868497314563182
453068084,event_type,PullRequestReviewCommentEvent,679,0.008745379374299662
453068084,event_type,PullRequestReviewEvent,358,0.004610965855669041
453068084,event_type,PushEvent,64407,0.8295488208549606
453068084,event_type,ReleaseEvent,385,0.004958720263778159
453068084,source_entity_type,CommitComment,3,3.8639378678790846e-05
453068084,source_entity_type,Issue,1226,0.015790626086732526
453068084,source_entity_type,IssueComment,2921,0.03762187504024935
453068084,source_entity_type,PullRequest,7662,0.09868497314563182
453068084,source_entity_type,PullRequestReview,358,0.004610965855669041
453068084,source_entity_type,PullRequestReviewComment,679,0.008745379374299662
453068084,source_entity_type,Push,64407,0.8295488208549606
453068084,source_entity_type,Release,385,0.004958720263778159
462329984,event_type,IssueCommentEvent,196,0.08957952468007313
462329984,event_type,IssuesEvent,100,0.04570383912248629
462329984,event_type,PullRequestEvent,68,0.031078610603290677
462329984,event_type,PullRequestReviewCommentEvent,7,0.0031992687385740404
462329984,event_type,PullRequestReviewEvent,2,0.0009140767824497258
462329984,event_type,PushEvent,1815,0.8295246800731262
462329984,source_entity_type,Issue,100,0.04570383912248629
462329984,source_entity_type,IssueComment,196,0.08957952468007313
462329984,source_entity_type,PullRequest,68,0.031078610603290677
462329984,source_entity_type,PullRequestReview,2,0.0009140767824497258
462329984,source_entity_type,PullRequestReviewComment,7,0.0031992687385740404
462329984,source_entity_type,Push,1815,0.8295246800731262
48833910,event_type,CommitCommentEvent,1,8.272667107875579e-05
48833910,event_type,IssueCommentEvent,2598,0.21492389146260754
48833910,event_type,IssuesEvent,626,0.05178689609530113
48833910,event_type,PullRequestEvent,6109,0.5053772336201191
48833910,event_type,PullRequestReviewCommentEvent,99,0.008189940436796824
