project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end
33745913,h2database/h2database,Relational,590,235,23,195,137,0.3983050847457627,0.6016949152542372,0.3305084745762712,212,384,537,1.8113207547169812,1.3984375,8.722792607802875
65259211,xap/xap,Key-value,1503,1034,0,428,41,0.6879574184963406,0.3120425815036593,0.28476380572188953,39,57,75,1.4615384615384615,1.3157894736842106,
30753733,percona/percona-server,Relational,1231,403,70,690,68,0.3273761169780666,0.6726238830219334,0.5605199025182778,138,220,348,1.5942028985507246,1.5818181818181818,8.876112251882272
661663226,maxnowack/signaldb,Document,9920,205,294,9418,3,0.02066532258064516,0.9793346774193549,0.9493951612903225,428,771,9726,1.8014018691588785,12.614785992217898,0.4928131416837782
67904342,Expensify/Bedrock,Relational,916,698,3,141,74,0.7620087336244541,0.23799126637554585,0.1539301310043668,98,185,250,1.8877551020408163,1.3513513513513513,7.299110198494182
184981,memcached/memcached,Key-value,344,79,22,179,64,0.22965116279069767,0.7703488372093024,0.5203488372093024,73,131,313,1.7945205479452055,2.3893129770992365,14.683093771389458
323389945,logicalclocks/rondb,"Relational,Key-value",396,298,5,77,16,0.7525252525252525,0.2474747474747475,0.19444444444444445,20,28,42,1.4,1.5,3.02258726899384
198466472,terminusdb/terminusdb,"Graph,Document,RDF",1878,1230,105,433,110,0.6549520766773163,0.3450479233226837,0.23056443024494142,214,257,384,1.2009345794392523,1.4941634241245136,4.438056125941136
23247808,rqlite/rqlite,Relational,1170,554,66,493,57,0.4735042735042735,0.5264957264957265,0.42136752136752137,103,220,299,2.1359223300970873,1.3590909090909091,9.352498288843258
80087836,dgraph-io/badger,Key-value,1358,807,63,380,108,0.5942562592047128,0.4057437407952872,0.27982326951399117,147,289,540,1.965986394557823,1.8685121107266436,6.924024640657084
50594316,senx/warp10-platform,Time Series,179,159,4,16,0,0.888268156424581,0.11173184357541899,0.0893854748603352,22,25,38,1.1363636363636365,1.52,7.920602327173169
150013328,cberner/redb,Key-value,275,131,38,62,44,0.4763636363636364,0.5236363636363637,0.22545454545454546,106,188,252,1.7735849056603774,1.3404255319148937,5.2676249144421625
714074,pouchdb/pouchdb,Document,713,458,50,111,94,0.6423562412342216,0.3576437587657784,0.15568022440392706,182,307,497,1.6868131868131868,1.6188925081433225,13.555099247091034
9595928,mirage/irmin,Document,914,256,37,463,158,0.2800875273522976,0.7199124726477024,0.5065645514223195,112,213,696,1.9017857142857142,3.267605633802817,10.688569472963723
543276238,libsql/libsql,Relational,954,521,38,107,288,0.5461215932914046,0.45387840670859536,0.11215932914046121,100,173,255,1.73,1.4739884393063585,1.2511978097193703
510375115,splitgraph/seafowl,Relational,1463,440,561,303,159,0.3007518796992481,0.6992481203007519,0.20710868079289133,187,318,700,1.7005347593582887,2.20125786163522,1.4893908281998631
168712350,Snapchat/KeyDB,Key-value,825,314,29,269,213,0.3806060606060606,0.6193939393939394,0.32606060606060605,158,298,634,1.8860759493670887,2.12751677852349,4.908966461327857
25780780,AlaSQL/alasql,"Relational,Document",11798,466,240,10939,153,0.03949822003729446,0.9605017799627056,0.927191049330395,239,327,11322,1.3682008368200838,34.62385321100918,9.177275838466803
511030127,ceramicstudio/js-composedb,Graph,521,322,13,97,89,0.6180422264875239,0.381957773512476,0.18618042226487524,65,130,168,2.0,1.2923076923076924,1.483915126625599
5683653,apache/drill,"Wide column,Document",518,185,23,123,187,0.35714285714285715,0.6428571428571429,0.23745173745173745,123,274,390,2.227642276422764,1.4233576642335766,11.315537303216974
4604367,sirixdb/sirix,Document,703,217,188,119,179,0.30867709815078237,0.6913229018492176,0.16927453769559034,88,212,309,2.409090909090909,1.4575471698113207,11.5564681724846
207663235,cmu-db/bustub,Relational,845,263,6,535,41,0.31124260355029587,0.6887573964497041,0.6331360946745562,50,56,72,1.12,1.2857142857142858,4.303901437371663
23013460,lsst/qserv,Relational,50,35,1,7,7,0.7,0.3,0.14,11,14,15,1.2727272727272727,1.0714285714285714,9.371663244353183
39519916,percona/percona-server-mongodb,Document,927,718,2,202,5,0.7745415318230853,0.22545846817691478,0.21790722761596548,31,34,53,1.096774193548387,1.5588235294117647,8.44079397672827
17224514,ehcache/ehcache3,Key-value,174,95,13,40,26,0.5459770114942529,0.4540229885057471,0.22988505747126436,47,69,100,1.4680851063829787,1.4492753623188406,9.839835728952773
31315021,Kinto/kinto,Document,3667,667,1858,399,743,0.18189255522225253,0.8181074447777474,0.10880829015544041,213,298,796,1.3990610328638498,2.6711409395973154,8.843258042436688
432844875,orioledb/orioledb,"Object Oriented,Relational",839,735,7,81,16,0.8760429082240763,0.12395709177592372,0.09654350417163289,192,330,480,1.71875,1.4545454545454546,2.086242299794661
606433492,chdb-io/chdb,Relational,592,200,67,148,177,0.33783783783783783,0.6621621621621622,0.25,88,195,376,2.215909090909091,1.9282051282051282,0.8432580424366872
3788366,openlink/virtuoso-opensource,Document,511,163,18,236,94,0.31898238747553814,0.6810176125244618,0.461839530332681,94,228,435,2.425531914893617,1.9078947368421053,11.775496235455167
344711168,IceFireDB/IceFireDB,Key-value,1800,276,733,551,240,0.15333333333333332,0.8466666666666667,0.3061111111111111,244,275,759,1.1270491803278688,2.76,2.8199863107460645
551374215,cozodb/cozo,Relational,315,157,21,74,63,0.4984126984126984,0.5015873015873016,0.23492063492063492,66,114,162,1.7272727272727273,1.4210526315789473,1.2101300479123889
393235957,risinglightdb/risinglight,Relational,775,119,6,145,505,0.15354838709677418,0.8464516129032258,0.1870967741935484,43,69,83,1.6046511627906976,1.2028985507246377,2.3983572895277208
28738447,apache/kylin,"Key-value,Relational",2844,32,7,2772,33,0.011251758087201125,0.9887482419127989,0.9746835443037974,93,201,2770,2.161290322580645,13.781094527363184,8.988364134154688
91715647,gnocchixyz/gnocchi,Relational,667,334,24,103,206,0.5007496251874063,0.4992503748125937,0.15442278860569716,67,143,247,2.1343283582089554,1.7272727272727273,6.617385352498289
125234630,danielealbano/cachegrand,Key-value,1187,304,16,852,15,0.2561078348778433,0.7438921651221567,0.7177759056444819,92,134,880,1.4565217391304348,6.567164179104478,5.796030116358659
7502247,lealone/Lealone,Relational,130,91,16,16,7,0.7,0.3,0.12307692307692308,31,58,82,1.8709677419354838,1.4137931034482758,10.973305954825461
664816265,scratchdata/ScratchDB,Document,282,235,2,18,27,0.8333333333333334,0.16666666666666666,0.06382978723404255,49,86,112,1.7551020408163265,1.302325581395349,0.4736481861738535
316690542,MonetDB/MonetDB,"Wide column,Relational",260,89,6,129,36,0.3423076923076923,0.6576923076923077,0.49615384615384617,63,117,164,1.8571428571428572,1.4017094017094016,3.0855578370978782
92329433,canonical/dqlite,Relational,452,59,16,358,19,0.13053097345132744,0.8694690265486725,0.7920353982300885,72,101,354,1.4027777777777777,3.504950495049505,6.6009582477754964
79901405,objectbox/objectbox-java,Object Oriented,285,107,11,92,75,0.37543859649122807,0.624561403508772,0.32280701754385965,68,147,264,2.161764705882353,1.7959183673469388,6.929500342231348
61153677,m3db/m3,"Relational,Time Series",1195,671,43,463,18,0.5615062761506276,0.4384937238493724,0.38744769874476986,92,124,692,1.3478260869565217,5.580645161290323,7.542778918548939
7083240,orientechnologies/orientdb,"Key-value,Document,Graph,Object Oriented",397,248,15,69,65,0.6246851385390428,0.37531486146095716,0.17380352644836272,83,137,348,1.6506024096385543,2.54014598540146,11.055441478439425
24494032,mysql/mysql-server,Relational,860,106,13,605,136,0.12325581395348838,0.8767441860465116,0.7034883720930233,71,130,335,1.8309859154929577,2.576923076923077,9.259411362080767
664133375,epsilla-cloud/vectordb,Array,262,208,0,32,22,0.7938931297709924,0.20610687022900764,0.12213740458015267,31,54,85,1.7419354838709677,1.5740740740740742,0.47638603696098564
195895847,hivedb/hive,Key-value,186,43,13,71,59,0.23118279569892472,0.7688172043010753,0.3817204301075269,65,98,169,1.5076923076923077,1.7244897959183674,4.479123887748118
23315232,mbdavid/LiteDB,Document,256,100,19,45,92,0.390625,0.609375,0.17578125,77,115,181,1.4935064935064934,1.5739130434782609,9.347022587268993
143253020,microsoft/FASTER,Key-value,710,389,8,277,36,0.547887323943662,0.45211267605633804,0.3901408450704225,35,57,81,1.6285714285714286,1.4210526315789473,5.409993155373032
441299511,reductstore/reductstore,"Key-value,Time Series",365,316,8,24,17,0.8657534246575342,0.13424657534246576,0.06575342465753424,59,64,102,1.0847457627118644,1.59375,2.0177960301163584
1374129,BaseXdb/basex,"Document,Native XML",293,135,24,87,47,0.46075085324232085,0.5392491467576792,0.29692832764505117,64,109,187,1.703125,1.7155963302752293,12.867898699520875
534109388,EuclidOLAP/EuclidOLAP,Array,152,151,1,0,0,0.993421052631579,0.006578947368421052,0.0,1,1,1,1.0,1.0,
259542436,LineairDB/LineairDB,Key-value,526,178,245,5,98,0.33840304182509506,0.6615969581749049,0.009505703422053232,118,175,179,1.4830508474576272,1.022857142857143,3.671457905544148
45732002,jnidzwetzki/bboxdb,Array,1145,122,236,652,135,0.10655021834061135,0.8934497816593886,0.5694323144104804,102,200,788,1.9607843137254901,3.94,8.145106091718
223462217,resilientdb/resilientdb,Document,214,208,3,1,2,0.9719626168224299,0.028037383177570093,0.004672897196261682,8,10,13,1.25,1.3,4.1040383299110195
108110,mongodb/mongo,Document,4830,2699,3,2093,35,0.5587991718426502,0.4412008281573499,0.43333333333333335,41,76,204,1.853658536585366,2.6842105263157894,14.954140999315538
266515876,armink/FlashDB,Key-value,144,59,5,35,45,0.4097222222222222,0.5902777777777778,0.24305555555555555,32,54,92,1.6875,1.7037037037037037,3.600273785078713
4407129,postgis/postgis,Spatial,1669,56,26,1530,57,0.033553025763930495,0.9664469742360695,0.9167165967645297,29,76,99,2.6206896551724137,1.3026315789473684,11.605749486652977
606125384,paypal/junodb,Key-value,240,121,38,38,43,0.5041666666666667,0.49583333333333335,0.15833333333333333,46,79,131,1.7173913043478262,1.6582278481012658,0.8459958932238193
298920362,oracle/nosql-java-sdk,"Key-value,Document",88,54,7,10,17,0.6136363636363636,0.38636363636363635,0.11363636363636363,10,12,26,1.2,2.1666666666666665,3.2553045859000687
22475123,amark/gun,Graph,208,38,8,68,94,0.18269230769230768,0.8173076923076923,0.3269230769230769,54,122,189,2.259259259259259,1.5491803278688525,9.415468856947296
270858421,juji-io/datalevin,Document,140,87,15,23,15,0.6214285714285714,0.37857142857142856,0.16428571428571428,35,62,87,1.7714285714285714,1.403225806451613,3.5592060232717317
454981666,streamnative/oxia,Key-value,349,138,75,53,83,0.3954154727793696,0.6045845272206304,0.1518624641833811,19,22,33,1.1578947368421053,1.5,1.9028062970568105
443220240,tinyplex/tinybase,Relational,414,39,27,334,14,0.09420289855072464,0.9057971014492754,0.8067632850241546,29,52,85,1.793103448275862,1.6346153846153846,1.995893223819302
55072677,semi-technologies/weaviate,Vector,591,77,24,439,51,0.13028764805414553,0.8697123519458545,0.7428087986463621,51,82,500,1.607843137254902,6.097560975609756,7.750855578370979
453191009,ostafen/clover,Document,83,13,10,7,53,0.1566265060240964,0.8433734939759037,0.08433734939759036,17,50,72,2.9411764705882355,1.44,1.919233401779603
16189524,OpenNMS/newts,Time Series,656,99,317,139,101,0.15091463414634146,0.8490853658536586,0.21189024390243902,72,85,252,1.1805555555555556,2.9647058823529413,9.932922655715263
19271154,JetBrains/xodus,Document,43,32,0,1,10,0.7441860465116279,0.2558139534883721,0.023255813953488372,4,14,14,3.5,1.0,9.670088980150581
574694308,RhizomeDB/rs-rhizome,Relational,222,111,48,58,5,0.5,0.5,0.26126126126126126,71,99,188,1.3943661971830985,1.898989898989899,1.0677618069815196
23405758,google/leveldb,Key-value,67,29,8,25,5,0.43283582089552236,0.5671641791044776,0.373134328358209,34,36,57,1.0588235294117647,1.5833333333333333,9.34154688569473
496505424,apache/incubator-horaedb,Relational,92,56,7,13,16,0.6086956521739131,0.391304347826087,0.14130434782608695,22,38,50,1.7272727272727273,1.3157894736842106,1.596167008898015
21985130,OpenHFT/Chronicle-Map,Key-value,1075,97,34,924,20,0.09023255813953489,0.9097674418604651,0.8595348837209302,40,65,957,1.625,14.723076923076922,9.451060917180014
