project_id,repo_name,category_label,total_reference_records,self_reference_records,external_project_reference_records,non_project_reference_records,unresolved_target_reference_records,self_reference_ratio,external_reference_share,non_project_reference_share,active_issue_pr_count,comment_related_unique_source_count,comment_body_ref_count,comment_per_issue,comment_reference_density,project_age_years_at_2023_end,out_degree,out_strength,seed_to_seed_relation_count,seed_to_seed_weight,seed_to_expanded_relation_count,seed_to_expanded_weight,target_diversity,source_concentration_hhi,top_target_weight_share,in_degree,in_strength,target_coverage,undirected_degree,undirected_strength,local_clustering,betweenness_brokerage,in_lcc
478288303,nuclia/nucliadb,Vector,37709,22397,85,15031,196,0.593943090508897,0.4060569094911029,0.3986051075340104,1071,1637,9267,1.5284780578898225,5.660965180207697,1.735797399041752,11,85,0,0,11,85,11,0.7799307958477509,0.8823529411764706,1.0,1.0,0.003401360544217687,12.0,86.0,0.0,0.0006128817245185797,True
195619075,vdaas/vald,Vector,40883,8037,2492,13511,16843,0.1965853777853875,0.8034146222146125,0.3304796614729838,364,4192,9381,11.516483516483516,2.237833969465649,4.48186173853525,11,2492,1,1,10,2491,11,0.853156746854783,0.9217495987158909,1.0,1.0,0.003401360544217687,12.0,2493.0,0.0,0.0009923908015582095,True
182849188,delta-io/delta,Wide column,4070,1811,181,1218,860,0.444963144963145,0.5550368550368551,0.2992628992628993,744,1567,2454,2.1061827956989245,1.5660497766432675,4.689938398357289,34,181,3,85,31,96,34,0.2291444095113092,0.44751381215469616,7.0,60.0,0.023809523809523808,39.0,241.0,0.04723346828609987,0.00692788140903057,True
86868560,TileDB-Inc/TileDB,Array,10587,7825,355,1738,669,0.7391140077453481,0.2608859922546519,0.1641635968640785,634,1218,1989,1.9211356466876968,1.6330049261083743,6.74880219028063,43,355,0,0,43,355,43,0.062344772862527285,0.10985915492957747,0.0,0.0,0.0,43.0,355.0,0.0,0.013478514324024164,True
496817075,GlareDB/glaredb,Relational,9224,4422,2021,1046,1735,0.4794015611448395,0.5205984388551604,0.1133998265394622,748,1269,2070,1.696524064171123,1.6312056737588652,1.593429158110883,101,2021,2,21,99,2000,101,0.09204417446597955,0.20138545274616526,2.0,8.0,0.006802721088435374,101.0,2029.0,0.008514851485148515,0.013670690434489147,True
130688011,meilisearch/meilisearch,"Document,Search Engine",16342,6625,4190,1623,3904,0.4053971362134377,0.5946028637865622,0.0993146493697221,811,2236,4998,2.757090012330456,2.235241502683363,5.686516084873374,113,4190,3,8,110,4182,113,0.10087809935008346,0.2062052505966587,2.0,2.0,0.006802721088435374,115.0,4192.0,0.005949656750572082,0.027094572762424662,True
276293034,apache/age,Graph,3304,1653,75,406,1170,0.5003026634382567,0.4996973365617433,0.1228813559322034,591,1483,1980,2.509306260575296,1.335131490222522,3.4962354551676933,27,75,3,6,24,69,27,0.11680000000000001,0.29333333333333333,1.0,1.0,0.003401360544217687,28.0,76.0,0.005291005291005291,0.00603411018906149,True
19816070,MariaDB/server,Relational,12600,4197,74,6394,1935,0.3330952380952381,0.6669047619047619,0.5074603174603175,593,1554,3615,2.6205733558178754,2.3262548262548264,9.626283367556468,29,74,1,4,28,70,29,0.07742878013148285,0.17567567567567569,1.0,2.0,0.003401360544217687,30.0,76.0,0.0,0.0035872650439895365,True
31006158,apache/ignite,Key-value,31736,749,11,30700,276,0.0236009579026972,0.9763990420973028,0.9673556843962692,633,1623,30919,2.5639810426540284,19.05052372150339,8.85968514715948,8,11,1,1,7,10,8,0.19008264462809918,0.36363636363636365,1.0,2.0,0.003401360544217687,8.0,13.0,0.0,0.00481451023908673,True
41349039,dgraph-io/dgraph,Graph,10702,7101,1358,1435,808,0.6635208372266866,0.3364791627733134,0.134087086525883,345,700,1348,2.028985507246377,1.9257142857142855,8.347707049965777,39,1358,2,58,37,1300,39,0.2839172654926569,0.44550810014727543,1.0,2.0,0.003401360544217687,39.0,1360.0,0.016194331983805668,0.008554619825908055,True
346976717,4paradigm/OpenMLDB,"Relational,Time Series",5847,1201,1980,2449,217,0.2054044809303916,0.7945955190696083,0.4188472721053531,530,1112,4927,2.09811320754717,4.430755395683454,2.80082135523614,40,1980,3,3,37,1977,40,0.874297520661157,0.9348484848484848,0.0,0.0,0.0,40.0,1980.0,0.010256410256410256,0.006509974602489236,True
206417,apache/couchdb,Document,2550,1211,163,752,424,0.4749019607843137,0.5250980392156863,0.2949019607843137,406,896,1504,2.206896551724138,1.6785714285714286,14.609171800136892,46,163,0,0,46,163,46,0.04761187850502465,0.09202453987730061,1.0,2.0,0.003401360544217687,47.0,165.0,0.0,0.008868457179693643,True
201403923,activeloopai/deeplake,Vector,24462,3092,8,20264,1098,0.1264001308151418,0.8735998691848581,0.8283868857820292,571,1546,20737,2.707530647985989,13.41332470892626,4.39151266255989,5,8,0,0,5,8,5,0.3125,0.5,0.0,0.0,0.0,5.0,8.0,0.0,0.0024729418828571977,True
