source_project_id,target_project_id,weight,multiplicity,is_self_loop,source_is_seed,target_is_seed
114187903,112100818,1,1,False,True,False
114187903,114187903,36220,36220,True,True,True
114187903,11939484,57,57,False,True,False
114187903,156111871,2,2,False,True,False
114187903,202061775,1,1,False,True,False
114187903,221993778,3,3,False,True,False
114187903,22660515,1,1,False,True,False
114187903,23096959,2,2,False,True,False
114187903,2328181,1,1,False,True,False
114187903,27522271,2,2,False,True,False
114187903,27522282,1,1,False,True,False
114187903,27522295,5,5,False,True,False
114187903,275257814,3,3,False,True,False
114187903,340996636,2,2,False,True,False
114187903,35440404,8,8,False,True,False
114187903,436297183,2,2,False,True,False
114187903,44838949,2,2,False,True,False
114187903,45497910,1,1,False,True,False
114187903,456549280,1,1,False,True,True
114187903,54980593,21,21,False,True,False
114187903,585687628,3,3,False,True,False
114187903,596892,4,4,False,True,False
114187903,59878249,1,1,False,True,False
114187903,619008516,2,2,False,True,False
114187903,6701057,4,4,False,True,False
114187903,75821432,1,1,False,True,False
114619105,106310,2,2,False,True,False
114619105,1064563,23,23,False,True,False
114619105,106481151,3,3,False,True,False
114619105,109404123,1,1,False,True,False
114619105,109480449,8,8,False,True,False
114619105,111510376,1,1,False,True,False
114619105,1123727,2,2,False,True,False
114619105,114619105,7896,7896,True,True,True
114619105,129954828,16,16,False,True,False
114619105,13078968,1,1,False,True,False
114619105,13273703,1,1,False,True,False
114619105,144419645,3,3,False,True,False
114619105,147511063,4,4,False,True,False
114619105,148546580,1,1,False,True,False
114619105,154606109,5,5,False,True,False
114619105,158256479,8,8,False,True,False
114619105,159109434,1,1,False,True,False
114619105,16431132,5,5,False,True,False
114619105,166515022,4,4,False,True,True
114619105,167949879,1,1,False,True,False
114619105,1680733,1,1,False,True,False
114619105,17165658,93,93,False,True,True
114619105,173431969,2,2,False,True,False
114619105,177139928,4,4,False,True,False
114619105,1804055,2,2,False,True,False
114619105,18260583,31,31,False,True,False
114619105,182849188,12,12,False,True,True
114619105,183030217,2,2,False,True,False
114619105,188779637,1,1,False,True,False
114619105,189476904,2,2,False,True,False
114619105,192587835,1,1,False,True,False
114619105,192625525,3,3,False,True,False
114619105,196057608,1,1,False,True,False
114619105,197814629,1,1,False,True,False
114619105,2003641,1,1,False,True,False
114619105,200437066,4,4,False,True,False
114619105,20300177,6,6,False,True,False
114619105,2045207,4,4,False,True,False
114619105,205417,2,2,False,True,False
114619105,20580498,1,1,False,True,False
114619105,20587599,3,3,False,True,True
114619105,206317,1,1,False,True,False
114619105,206444,30,30,False,True,True
114619105,210029529,4,4,False,True,False
114619105,21099,2,2,False,True,False
114619105,216581567,3,3,False,True,False
114619105,220602533,5,5,False,True,False
114619105,22305416,6,6,False,True,False
114619105,23088740,81,81,False,True,False
