source_project_id,target_project_id,src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,event_id,event_type,event_time,relation_label_repr,source_evidence_file
41986369,41986369,P_41986369.12269899781,Push,I_41986369#39971,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40174,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40176,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40177,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40142,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40143,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40154,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#40125,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40097,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#40199,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#35240,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,PR_41986369#38740,PullRequest,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
41986369,41986369,P_41986369.12269899781,Push,I_41986369#38739,Issue,26401456585,PushEvent,2023-01-13 01:49:12,Push_unknown_UnknownFromBodyRef,pingcap_tidb_2023.csv
