seed_order,repo_id,repo_name,repo_name_used,activity_count,repo_created_at,category_label,evidence_filename,evidence_path,seed_boundary_reason
81,54005538,FirebirdSQL/firebird,FirebirdSQL/firebird,3460,2016-03-16T06:10:37Z,Relational,FirebirdSQL_firebird_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/FirebirdSQL_firebird_2023.csv,activity_threshold_and_frozen_evidence_available
82,372536760,oceanbase/oceanbase,oceanbase/oceanbase,3411,2021-05-31T14:36:17Z,Relational,oceanbase_oceanbase_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/oceanbase_oceanbase_2023.csv,activity_threshold_and_frozen_evidence_available
83,5844474,EventStore/EventStore,EventStore/EventStore,3401,2012-09-17T17:22:49Z,Event,EventStore_EventStore_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/EventStore_EventStore_2023.csv,activity_threshold_and_frozen_evidence_available
84,520096046,marqo-ai/marqo,marqo-ai/marqo,3230,2022-08-01T12:12:51Z,"Document,Vector,Search Engine",marqo-ai_marqo_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/marqo-ai_marqo_2023.csv,activity_threshold_and_frozen_evidence_available
85,146459443,vesoft-inc/nebula,vesoft-inc/nebula,3115,2018-08-28T14:25:09Z,Graph,vesoft-inc_nebula_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/vesoft-inc_nebula_2023.csv,activity_threshold_and_frozen_evidence_available
86,30449481,apache/tinkerpop,apache/tinkerpop,3111,2015-02-07T08:00:05Z,Graph,apache_tinkerpop_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_tinkerpop_2023.csv,activity_threshold_and_frozen_evidence_available
87,462329984,speedb-io/speedb,speedb-io/speedb,3104,2022-02-22T14:18:31Z,Key-value,speedb-io_speedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/speedb-io_speedb_2023.csv,activity_threshold_and_frozen_evidence_available
88,75425073,pubkey/rxdb,pubkey/rxdb,3055,2016-12-02T19:34:42Z,Document,pubkey_rxdb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pubkey_rxdb_2023.csv,activity_threshold_and_frozen_evidence_available
89,141376301,apache/incubator-hugegraph,apache/incubator-hugegraph,3043,2018-07-18T03:30:20Z,Graph,apache_incubator-hugegraph_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_incubator-hugegraph_2023.csv,activity_threshold_and_frozen_evidence_available
90,91593042,bloomberg/comdb2,bloomberg/comdb2,3020,2017-05-17T15:39:23Z,Relational,bloomberg_comdb2_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/bloomberg_comdb2_2023.csv,activity_threshold_and_frozen_evidence_available
91,94593596,etcd-io/bbolt,etcd-io/bbolt,2992,2017-06-17T01:42:09Z,Key-value,etcd-io_bbolt_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/etcd-io_bbolt_2023.csv,activity_threshold_and_frozen_evidence_available
92,95614931,manticoresoftware/manticoresearch,manticoresoftware/manticoresearch,2952,2017-06-28T01:15:30Z,"Relational,Search Engine",manticoresoftware_manticoresearch_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/manticoresoftware_manticoresearch_2023.csv,activity_threshold_and_frozen_evidence_available
93,607441698,lancedb/lancedb,lancedb/lancedb,2919,2023-02-28T01:15:17Z,Document,lancedb_lancedb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/lancedb_lancedb_2023.csv,activity_threshold_and_frozen_evidence_available
94,77385607,JanusGraph/janusgraph,JanusGraph/janusgraph,2917,2016-12-26T13:26:29Z,Graph,JanusGraph_janusgraph_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/JanusGraph_janusgraph_2023.csv,activity_threshold_and_frozen_evidence_available
95,20473418,apache/phoenix,apache/phoenix,2835,2014-06-04T07:00:08Z,Relational,apache_phoenix_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_phoenix_2023.csv,activity_threshold_and_frozen_evidence_available
96,220186120,codenotary/immudb,codenotary/immudb,2807,2019-11-07T08:22:16Z,Key-value,codenotary_immudb_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/codenotary_immudb_2023.csv,activity_threshold_and_frozen_evidence_available
97,510607652,pocketbase/pocketbase,pocketbase/pocketbase,2785,2022-07-05T06:06:21Z,Relational,pocketbase_pocketbase_2023.csv,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/pocketbase_pocketbase_2023.csv,activity_threshold_and_frozen_evidence_available
