repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,activity_count,evidence_filename,evidence_available,evidence_path,seed_boundary_reason
39519916,percona/percona-server-mongodb,percona/percona-server-mongodb,627,2015-07-22T17:25:26Z,Document,627,percona_percona-server-mongodb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/percona_percona-server-mongodb_2023.csv,activity_threshold_and_frozen_evidence_available
17224514,ehcache/ehcache3,ehcache/ehcache3,621,2014-02-26T20:39:16Z,Key-value,621,ehcache_ehcache3_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/ehcache_ehcache3_2023.csv,activity_threshold_and_frozen_evidence_available
31315021,Kinto/kinto,Kinto/kinto,606,2015-02-25T13:34:23Z,Document,606,Kinto_kinto_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/Kinto_kinto_2023.csv,activity_threshold_and_frozen_evidence_available
432844875,orioledb/orioledb,orioledb/orioledb,600,2021-11-28T22:57:49Z,"Object Oriented,Relational",600,orioledb_orioledb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/orioledb_orioledb_2023.csv,activity_threshold_and_frozen_evidence_available
606433492,chdb-io/chdb,chdb-io/chdb,591,2023-02-25T13:35:14Z,Relational,591,chdb-io_chdb_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/chdb-io_chdb_2023.csv,activity_threshold_and_frozen_evidence_available
3788366,openlink/virtuoso-opensource,openlink/virtuoso-opensource,586,2012-03-21T16:00:39Z,Document,586,openlink_virtuoso-opensource_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/openlink_virtuoso-opensource_2023.csv,activity_threshold_and_frozen_evidence_available
344711168,IceFireDB/IceFireDB,IceFireDB/IceFireDB,568,2021-03-05T06:03:29Z,Key-value,568,IceFireDB_IceFireDB_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/IceFireDB_IceFireDB_2023.csv,activity_threshold_and_frozen_evidence_available
551374215,cozodb/cozo,cozodb/cozo,493,2022-10-14T09:28:11Z,Relational,493,cozodb_cozo_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/cozodb_cozo_2023.csv,activity_threshold_and_frozen_evidence_available
393235957,risinglightdb/risinglight,risinglightdb/risinglight,483,2021-08-06T03:26:03Z,Relational,483,risinglightdb_risinglight_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/risinglightdb_risinglight_2023.csv,activity_threshold_and_frozen_evidence_available
28738447,apache/kylin,apache/kylin,476,2015-01-03T08:00:05Z,"Key-value,Relational",476,apache_kylin_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/apache_kylin_2023.csv,activity_threshold_and_frozen_evidence_available
91715647,gnocchixyz/gnocchi,gnocchixyz/gnocchi,475,2017-05-18T16:32:52Z,Relational,475,gnocchixyz_gnocchi_2023.csv,True,data/github_osdb_data/repos_GH_CoRE_ref_node_agg_v2_identity_corrected/gnocchixyz_gnocchi_2023.csv,activity_threshold_and_frozen_evidence_available
