project_id,community_id,community_size
200299178,2,106
20031333,5,802
200346067,2,106
2003641,1,194
20037550,19,453
200437066,7,72
200458979,3,40
200511807,0,581
200663555,4,232
200696780,13,823
20072342,4,232
20078379,4,232
20089857,9,23
20101515,4,232
201103120,1,194
201118306,2,106
201284004,4,232
201284016,10,28
201403923,21,66
201441751,17,85
201455508,2,106
201517171,0,581
201584981,0,581
20188259,0,581
201885288,3,40
201975309,4,232
202061775,9,23
202127068,6,14
20236160,4,232
202379383,0,581
20245398,1,194
20248082,1,194
20248084,6,14
202483348,1,194
20275545,19,453
202936427,1,194
20300177,3,40
20312497,29,24
203132746,9,23
203150729,5,802
20321688,7,72
203259544,8,12
2032665,7,72
203267660,9,23
203410297,3,40
203461509,7,72
203461790,3,40
203537234,1,194
203553224,10,28
203589409,4,232
20364355,3,40
203668074,0,581
203697873,16,71
203863933,10,28
20388420,1,194
204009988,10,28
204020546,1,194
204033634,8,12
204086862,1,194
20415251,1,194
204253808,13,823
204513717,10,28
2045207,3,40
204553191,0,581
204593825,18,10
204631624,2,106
204671232,18,10
204727434,4,232
20473418,1,194
204788647,1,194
204888772,2,106
20491274,2,106
2049404,3,40
204949228,0,581
204949916,4,232
205262760,2,106
20537104,8,12
205417,1,194
20543575,11,84
205564111,28,133
2055965,3,40
2056549,5,802
20570214,1,194
20580498,2,106
205870847,6,14
20587599,1,194
205966957,12,32
206130163,8,12
206228780,1,194
206317,11,84
206320,3,40
206337472,7,72
206339,3,40
206341,3,40
206371,3,40
206372614,18,10
206378,1,194
206396,1,194
206398,6,14
206402,19,453
206403,3,40
206417,15,234
206424,25,133
206427,3,40
206444,1,194
206459,0,581
20647396,1,194
206483,3,40
20653934,2,106
206632,1,194
206686299,3,40
20675634,5,802
20675635,1,194
20675636,1,194
206791328,4,232
206917262,6,14
206917473,4,232
20736043,5,802
207363466,10,28
2074703,4,232
207585477,13,823
207618995,8,12
207663235,5,802
20773773,2,106
208047461,4,232
208060770,0,581
208243336,10,28
20831114,2,106
208509888,5,802
208698479,15,234
208728772,17,85
208795891,5,802
20904437,17,85
209101661,23,25
209217594,25,133
20929025,8,12
209491653,10,28
209600930,2,106
209642759,1,194
209657662,2,106
209881172,6,14
210029529,1,194
21052744,3,40
210583017,6,14
210716005,14,109
210788647,2,106
21088403,6,14
210909024,8,12
210933087,1,194
21099,1,194
210997817,0,581
211165922,5,802
21125024,24,23
2112962,9,23
211309920,6,14
211340922,5,802
2113660,2,106
211494818,1,194
21193524,1,194
212378409,16,71
212382406,1,194
212459447,25,133
212465715,1,194
21251069,12,32
212709818,0,581
212786426,1,194
212857695,16,71
212936374,0,581
212984760,1,194
21303988,1,194
21306961,2,106
21338027,14,109
213417638,3,40
2134191,6,14
213449445,4,232
213633271,17,85
213701835,23,25
213717832,13,823
213793403,2,106
213836768,0,581
213852395,2,106
213947642,1,194
214215524,5,802
214266955,2,106
214273093,1,194
214350064,1,194
214361893,12,32
21440127,8,12
214487724,0,581
214566843,6,14
21467907,1,194
21488145,2,106
214996328,15,234
215108366,16,71
215231163,2,106
215263010,5,802
21540759,2,106
215532341,2,106
215566462,2,106
215570371,17,85
215638242,6,14
215875945,4,232
21591001,2,106
215948042,1,194
216069489,18,10
216143574,0,581
216207542,1,194
216254547,3,40
216283035,9,23
216478215,2,106
216494674,0,581
216581567,1,194
216797458,0,581
216847853,0,581
21686666,0,581
21704134,2,106
217067290,5,802
21708091,4,232
21708754,2,106
217354397,0,581
2174666,4,232
21759652,1,194
217627454,1,194
21772838,0,581
218006898,2,106
218025521,5,802
218158416,8,12
218396611,19,453
218525428,19,453
218559411,25,133
218629347,4,232
218852626,6,14
219035799,6,14
219045178,0,581
219061541,13,823
21946092,0,581
219505677,4,232
219515346,3,40
21954009,0,581
21985130,1,194
219865964,0,581
219891102,1,194
219915319,4,232
22017842,11,84
220186120,2,106
220362473,1,194
220391287,3,40
220602533,1,194
220778874,9,23
220808376,4,232
221058575,0,581
2211243,4,232
221177708,11,84
221407234,4,232
221437306,4,232
221574203,19,453
221584272,5,802
221600181,6,14
221654776,5,802
221787679,2,106
221862,3,40
221981891,1,194
221989665,7,72
221993778,9,23
222023566,4,232
22234992,2,106
222364980,12,32
222501873,5,802
22266795,3,40
222735791,16,71
222791664,5,802
222887140,2,106
222960238,8,12
22305416,1,194
22321368,4,232
223241444,23,25
223268020,4,232
223420284,5,802
223442049,5,802
223485832,0,581
223490876,1,194
22360263,0,581
223708643,7,72
22374529,7,72
223794069,2,106
224021526,2,106
224104199,10,28
224225724,11,84
224289715,2,106
22432442,0,581
